n,k,Kind,build_ndc,build_ms,recall_mean,ndc_mean,time_ms_mean
10000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 40, distance: Dot }",7247837,1144.6157269999999,0.964,872.465,0.174
20000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 40, distance: Dot }",16480078,3325.5726870000003,0.949,933.885,0.237
40000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 40, distance: Dot }",36509494,9101.804509000001,0.933,1001.130,0.326
10000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 40, distance: Dot }",7247837,1106.5942639999998,0.964,872.465,0.176
20000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 40, distance: Dot }",16480078,3371.308656,0.949,933.885,0.275
40000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 40, distance: Dot }",36509494,10629.094502000002,0.933,1001.130,0.391
100000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 40, distance: Dot }",101559157,37388.311978,0.880,1066.515,0.437
300000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 20, m_max_0: 40, distance: Dot }",333989052,131592.677689,0.826,1138.390,0.478
10000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 120, m_max: 20, m_max_0: 40, distance: Dot }",10526740,2583.151077,0.983,1303.175,0.384
20000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 120, m_max: 20, m_max_0: 40, distance: Dot }",24683279,7358.245105,0.977,1437.235,0.517
40000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 120, m_max: 20, m_max_0: 40, distance: Dot }",55687374,18991.231051,0.974,1558.005,0.614
100000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 120, m_max: 20, m_max_0: 40, distance: Dot }",157037904,60618.249517000004,0.945,1668.975,0.846
300000,30,"HnswParams { level_norm_param: 0.5, ef_construction: 120, m_max: 20, m_max_0: 40, distance: Dot }",519832765,210116.924399,0.912,1784.220,0.745
