inserted id: 313, insert_level: 0, idx_at_insert_level: 313 top_level: 0
inserted id: 5000, insert_level: 3, idx_at_insert_level: 132 top_level: 0
inserted id: 1250, insert_level: 0, idx_at_insert_level: 1250 top_level: 0
inserted id: 937, insert_level: 0, idx_at_insert_level: 937 top_level: 0
inserted id: 7500, insert_level: 0, idx_at_insert_level: 7500 top_level: 0
inserted id: 8750, insert_level: 0, idx_at_insert_level: 8750 top_level: 0
inserted id: 703, insert_level: 0, idx_at_insert_level: 703 top_level: 0
inserted id: 314, insert_level: 0, idx_at_insert_level: 314 top_level: 0
inserted id: 625, insert_level: 1, idx_at_insert_level: 161 top_level: 0
inserted id: 1015, insert_level: 0, idx_at_insert_level: 1015 top_level: 3
inserted id: 704, insert_level: 0, idx_at_insert_level: 704 top_level: 3
inserted id: 626, insert_level: 0, idx_at_insert_level: 626 top_level: 3
inserted id: 5001, insert_level: 0, idx_at_insert_level: 5001 top_level: 3
inserted id: 1093, insert_level: 0, idx_at_insert_level: 1093 top_level: 0
inserted id: 1875, insert_level: 0, idx_at_insert_level: 1875 top_level: 3
inserted id: 781, insert_level: 0, idx_at_insert_level: 781 top_level: 0
inserted id: 3750, insert_level: 0, idx_at_insert_level: 3750 top_level: 3
inserted id: 469, insert_level: 0, idx_at_insert_level: 469 top_level: 0
inserted id: 705, insert_level: 0, idx_at_insert_level: 705 top_level: 3
inserted id: 1876, insert_level: 0, idx_at_insert_level: 1876 top_level: 3
inserted id: 706, insert_level: 0, idx_at_insert_level: 706 top_level: 3
inserted id: 5002, insert_level: 0, idx_at_insert_level: 5002 top_level: 3
Thread ThreadId(5) insert id: 782, insert_level: 1, idx_at_insert_level: 208 top_level: 3
                              Error at level 0, idx: 782
inserted id: 7501, insert_level: 0, idx_at_insert_level: 7501 top_level: 3
inserted id: 782, insert_level: 1, idx_at_insert_level: 208 top_level: 3
inserted id: 1877, insert_level: 0, idx_at_insert_level: 1877 top_level: 3
inserted id: 5003, insert_level: 0, idx_at_insert_level: 5003 top_level: 3
inserted id: 7502, insert_level: 0, idx_at_insert_level: 7502 top_level: 3
inserted id: 783, insert_level: 5, idx_at_insert_level: 0 top_level: 3
inserted id: 784, insert_level: 0, idx_at_insert_level: 784 top_level: 5
inserted id: 1878, insert_level: 1, idx_at_insert_level: 525 top_level: 3
inserted id: 7503, insert_level: 0, idx_at_insert_level: 7503 top_level: 3
inserted id: 5004, insert_level: 1, idx_at_insert_level: 1423 top_level: 3
inserted id: 785, insert_level: 1, idx_at_insert_level: 210 top_level: 5
inserted id: 1094, insert_level: 0, idx_at_insert_level: 1094 top_level: 3
Thread ThreadId(12) insert id: 8751, insert_level: 1, idx_at_insert_level: 2522 top_level: 3
                              Error at level 0, idx: 8751
inserted id: 5005, insert_level: 0, idx_at_insert_level: 5005 top_level: 5
inserted id: 7504, insert_level: 0, idx_at_insert_level: 7504 top_level: 5
inserted id: 627, insert_level: 0, idx_at_insert_level: 627 top_level: 3
inserted id: 3751, insert_level: 0, idx_at_insert_level: 3751 top_level: 3
inserted id: 707, insert_level: 0, idx_at_insert_level: 707 top_level: 3
inserted id: 2500, insert_level: 0, idx_at_insert_level: 2500 top_level: 0
inserted id: 1095, insert_level: 0, idx_at_insert_level: 1095 top_level: 5
inserted id: 470, insert_level: 1, idx_at_insert_level: 130 top_level: 3
inserted id: 315, insert_level: 0, idx_at_insert_level: 315 top_level: 3
inserted id: 1, insert_level: 0, idx_at_insert_level: 1 top_level: 0
inserted id: 1879, insert_level: 1, idx_at_insert_level: 526 top_level: 5
inserted id: 1096, insert_level: 0, idx_at_insert_level: 1096 top_level: 5
inserted id: 2501, insert_level: 1, idx_at_insert_level: 710 top_level: 5
inserted id: 471, insert_level: 0, idx_at_insert_level: 471 top_level: 5
inserted id: 316, insert_level: 0, idx_at_insert_level: 316 top_level: 5
inserted id: 472, insert_level: 1, idx_at_insert_level: 131 top_level: 5
inserted id: 2, insert_level: 1, idx_at_insert_level: 0 top_level: 5
inserted id: 1251, insert_level: 2, idx_at_insert_level: 95 top_level: 3
inserted id: 786, insert_level: 0, idx_at_insert_level: 786 top_level: 5
inserted id: 3752, insert_level: 0, idx_at_insert_level: 3752 top_level: 5
inserted id: 5006, insert_level: 0, idx_at_insert_level: 5006 top_level: 5
inserted id: 8751, insert_level: 1, idx_at_insert_level: 2522 top_level: 3
inserted id: 7505, insert_level: 0, idx_at_insert_level: 7505 top_level: 5
inserted id: 1880, insert_level: 0, idx_at_insert_level: 1880 top_level: 5
inserted id: 938, insert_level: 0, idx_at_insert_level: 938 top_level: 3
inserted id: 8752, insert_level: 0, idx_at_insert_level: 8752 top_level: 5
inserted id: 8753, insert_level: 1, idx_at_insert_level: 2523 top_level: 5
inserted id: 628, insert_level: 0, idx_at_insert_level: 628 top_level: 5
inserted id: 317, insert_level: 0, idx_at_insert_level: 317 top_level: 5
inserted id: 1097, insert_level: 0, idx_at_insert_level: 1097 top_level: 5
Thread ThreadId(10) insert id: 708, insert_level: 2, idx_at_insert_level: 49 top_level: 5
                              Error at level 0, idx: 708
inserted id: 708, insert_level: 2, idx_at_insert_level: 49 top_level: 5
inserted id: 1252, insert_level: 0, idx_at_insert_level: 1252 top_level: 5
inserted id: 1016, insert_level: 0, idx_at_insert_level: 1016 top_level: 3
inserted id: 787, insert_level: 1, idx_at_insert_level: 211 top_level: 5
inserted id: 7506, insert_level: 0, idx_at_insert_level: 7506 top_level: 5
inserted id: 8754, insert_level: 0, idx_at_insert_level: 8754 top_level: 5
inserted id: 2502, insert_level: 4, idx_at_insert_level: 18 top_level: 5
inserted id: 473, insert_level: 0, idx_at_insert_level: 473 top_level: 5
inserted id: 939, insert_level: 0, idx_at_insert_level: 939 top_level: 5
Thread ThreadId(16) insert id: 3753, insert_level: 1, idx_at_insert_level: 1069 top_level: 5
                              Error at level 0, idx: 3753
